School Name,School Type,Region,Starting Median Salary,Mid-Career Median Salary
Amherst College,Liberal Arts,Northeastern,"$54,500.00","$107,000.00"
Appalachian State University,State,Southern,"$40,400.00","$69,100.00"
Arizona State University (ASU),State,Western,"$47,400.00","$84,100.00"
Arizona State University (ASU),Party,Western,"$47,400.00","$84,100.00"
Arkansas State University (ASU),State,Southern,"$38,700.00","$63,300.00"
Auburn University,State,Southern,"$45,400.00","$84,700.00"
Austin Peay State University,State,Southern,"$37,700.00","$59,200.00"
Ball State University (BSU),State,Midwestern,"$39,100.00","$64,500.00"
Bates College,Liberal Arts,Northeastern,"$47,300.00","$96,500.00"
Binghamton University,State,Northeastern,"$53,600.00","$95,900.00"
Black Hills State University,State,Midwestern,"$35,300.00","$43,900.00"
Boise State University (BSU),State,Western,"$40,800.00","$69,500.00"
Bowdoin College,Liberal Arts,Northeastern,"$48,100.00","$107,000.00"
Bowling Green State University,State,Midwestern,"$39,800.00","$72,100.00"
Brown University,Ivy League,Northeastern,"$56,200.00","$109,000.00"
Bucknell University,Liberal Arts,Northeastern,"$54,100.00","$110,000.00"
Cal Poly San Luis Obispo,State,California,"$57,200.00","$101,000.00"
California Institute of Technology (CIT),Engineering,California,"$75,500.00","$123,000.00"
"California State University (CSU), Chico",State,California,"$47,400.00","$88,100.00"
"California State University (CSU), Stanislaus",State,California,"$38,000.00","$71,400.00"
"California State University, Dominguez Hills (CSUDH)",State,California,"$42,700.00","$72,100.00"
"California State University, East Bay (CSUEB)",State,California,"$49,200.00","$84,300.00"
"California State University, Fullerton (CSUF)",State,California,"$45,700.00","$87,000.00"
"California State University, Long Beach (CSULB)",State,California,"$45,100.00","$84,700.00"
"California State University, Northridge (CSUN)",State,California,"$45,500.00","$80,400.00"
"California State University, Sacramento (CSUS)",State,California,"$47,800.00","$82,400.00"
Carleton College,Liberal Arts,Midwestern,"$47,500.00","$103,000.00"
Carnegie Mellon University (CMU),Engineering,Northeastern,"$61,800.00","$111,000.00"
Clemson University,State,Southern,"$48,400.00","$86,000.00"
Cleveland State University,State,Midwestern,"$43,500.00","$73,100.00"
Colby College,Liberal Arts,Northeastern,"$46,400.00","$85,800.00"
Colgate University,Liberal Arts,Northeastern,"$52,800.00","$108,000.00"
College of the Holy Cross,Liberal Arts,Northeastern,"$50,200.00","$106,000.00"
Colorado College (CC),Liberal Arts,Western,"$38,500.00","$81,400.00"
Colorado School of Mines,Engineering,Western,"$58,100.00","$106,000.00"
Colorado State University (CSU),State,Western,"$44,800.00","$79,000.00"
Columbia University,Ivy League,Northeastern,"$59,400.00","$107,000.00"
Cooper Union,Engineering,Northeastern,"$62,200.00","$114,000.00"
Cornell University,Ivy League,Northeastern,"$60,300.00","$110,000.00"
Dartmouth College,Ivy League,Northeastern,"$58,000.00","$134,000.00"
Davidson College,Liberal Arts,Southern,"$46,100.00","$104,000.00"
DePauw University,Liberal Arts,Midwestern,"$41,400.00","$88,200.00"
Denison University,Liberal Arts,Midwestern,"$42,000.00","$83,500.00"
East Carolina University (ECU),State,Southern,"$40,200.00","$67,500.00"
Eastern Michigan University,State,Midwestern,"$40,300.00","$72,100.00"
Eastern Washington University,State,Western,"$38,600.00","$70,900.00"
Embry-Riddle Aeronautical University (ERAU),Engineering,,,
Evergreen State College,Liberal Arts,Western,"$39,500.00","$63,900.00"
Fitchburg State College,State,Northeastern,"$42,400.00","$72,600.00"
Florida Atlantic University (FAU),State,Southern,"$42,600.00","$71,100.00"
Florida International University (FIU),State,Southern,"$43,200.00","$75,500.00"
Florida State University (FSU),State,Southern,"$42,100.00","$73,000.00"
Florida State University (FSU),Party,Southern,"$42,100.00","$73,000.00"
Fort Lewis College,Liberal Arts,Western,"$42,000.00","$69,800.00"
Franklin and Marshall College,Liberal Arts,Northeastern,"$49,100.00","$92,800.00"
George Mason University,State,Southern,"$47,800.00","$86,900.00"
Georgia Institute of Technology,Engineering,Southern,"$58,300.00","$106,000.00"
Georgia State University,State,Southern,"$41,800.00","$74,000.00"
Gettysburg College,Liberal Arts,Northeastern,"$44,700.00","$85,800.00"
Grinnell College,Liberal Arts,Midwestern,"$42,600.00","$76,600.00"
Gustavus Adolphus College,Liberal Arts,Midwestern,"$44,500.00","$80,600.00"
Hamilton College,Liberal Arts,Northeastern,"$49,200.00","$83,700.00"
Harvard University,Ivy League,Northeastern,"$63,400.00","$124,000.00"
Harvey Mudd College,Engineering,California,"$71,800.00","$122,000.00"
Humboldt State University,State,California,"$42,600.00","$71,300.00"
Idaho State University,State,Western,"$44,900.00","$73,400.00"
Illinois Institute of Technology (IIT),Engineering,Midwestern,"$56,000.00","$97,800.00"
Illinois State University,State,Midwestern,"$42,000.00","$73,400.00"
"Indiana University (IU), Bloomington",State,Midwestern,"$46,300.00","$84,000.00"
"Indiana University (IU), Bloomington",Party,Midwestern,"$46,300.00","$84,000.00"
Iowa State University,State,Midwestern,"$45,400.00","$84,600.00"
Juniata College,Liberal Arts,Northeastern,"$41,800.00","$78,900.00"
Kansas State University (KSU),State,Midwestern,"$43,300.00","$79,000.00"
Kent State University,State,Midwestern,"$38,700.00","$62,600.00"
Lafayette College,Liberal Arts,Northeastern,"$53,900.00","$107,000.00"
Lamar University,State,Southern,"$46,500.00","$79,400.00"
Lewis & Clark College,Liberal Arts,Western,"$38,900.00","$72,600.00"
Louisiana State University (LSU),State,Southern,"$46,900.00","$87,800.00"
Louisiana State University (LSU),Party,Southern,"$46,900.00","$87,800.00"
Massachusetts Institute of Technology (MIT),Engineering,Northeastern,"$72,200.00","$126,000.00"
Michigan State University (MSU),State,Midwestern,"$46,300.00","$85,300.00"
Middlebury College,Liberal Arts,Northeastern,"$47,700.00","$94,200.00"
Minnesota State University - Mankato,State,Midwestern,"$43,300.00","$74,700.00"
Mississippi State University (MSU),State,Southern,"$44,500.00","$79,300.00"
Missouri State University (MSU),State,Midwestern,"$36,100.00","$69,500.00"
Montana State University - Billings,State,Western,"$37,900.00","$50,600.00"
Montana State University - Bozeman,State,Western,"$46,600.00","$77,500.00"
Moravian College,Liberal Arts,Northeastern,"$42,500.00","$74,400.00"
Morehead State University,State,Southern,"$34,800.00","$60,600.00"
Mount Holyoke College,Liberal Arts,Northeastern,"$42,400.00","$94,200.00"
New Mexico Institute of Mining and Technology (New Mexico Tech),Engineering,Western,"$51,000.00","$93,400.00"
New Mexico State University,State,Western,"$44,300.00","$79,500.00"
North Carolina State University (NCSU),State,Southern,"$47,200.00","$83,300.00"
North Dakota State University (NDSU),State,Midwestern,"$45,100.00","$77,800.00"
Northern Illinois University (NIU),State,Midwestern,"$43,600.00","$80,800.00"
Oberlin College,Liberal Arts,Midwestern,"$43,400.00","$81,600.00"
Occidental College,Liberal Arts,California,"$51,900.00","$105,000.00"
Ohio State University (OSU),State,Midwestern,"$44,900.00","$83,700.00"
Ohio University,State,Midwestern,"$42,200.00","$73,400.00"
Ohio University,Party,Midwestern,"$42,200.00","$73,400.00"
Oklahoma State University,State,Southern,"$42,800.00","$80,700.00"
Oregon State University (OSU),State,Western,"$45,100.00","$83,300.00"
Penn State - Harrisburg,State,Northeastern,"$45,700.00","$74,000.00"
Pennsylvania State University (PSU),State,Northeastern,"$49,900.00","$85,700.00"
Pennsylvania State University (PSU),Party,Northeastern,"$49,900.00","$85,700.00"
Pittsburg State University,State,Midwestern,"$40,400.00","$58,200.00"
"Polytechnic University of New York, Brooklyn",Engineering,Northeastern,"$62,400.00","$114,000.00"
Pomona College,Liberal Arts,California,"$48,600.00","$101,000.00"
Portland State University (PSU),State,Western,"$42,600.00","$70,900.00"
Princeton University,Ivy League,Northeastern,"$66,500.00","$131,000.00"
Purdue University,State,Midwestern,"$51,400.00","$90,500.00"
Randolph-Macon College,Party,Southern,"$42,600.00","$83,600.00"
Randolph-Macon College,Liberal Arts,Southern,"$42,600.00","$83,600.00"
Reed College,Liberal Arts,Western,"$40,500.00","$81,100.00"
Rensselaer Polytechnic Institute (RPI),Engineering,Northeastern,"$61,100.00","$110,000.00"
Rochester Institute of Technology (RIT),Engineering,Northeastern,"$48,900.00","$84,600.00"
Rutgers University,State,Northeastern,"$50,300.00","$91,800.00"
San Diego State University (SDSU),State,California,"$46,200.00","$85,200.00"
San Francisco State University (SFSU),State,California,"$47,300.00","$86,400.00"
San Jose State University (SJSU),State,California,"$53,500.00","$95,600.00"
Siena College,Liberal Arts,Northeastern,"$45,500.00","$85,200.00"
Skidmore College,Liberal Arts,Northeastern,"$41,600.00","$74,600.00"
Smith College,Liberal Arts,Northeastern,"$44,000.00","$83,900.00"
South Dakota School of Mines & Technology,Engineering,Midwestern,"$55,800.00","$93,400.00"
South Dakota State University (SDSU),State,Midwestern,"$41,100.00","$73,500.00"
Southern Illinois University Carbondale,State,Midwestern,"$43,000.00","$72,500.00"
Southern Utah University,State,Western,"$41,900.00","$56,500.00"
St. Cloud State University,State,Midwestern,"$41,800.00","$71,400.00"
St. Olaf College,Liberal Arts,Midwestern,"$45,300.00","$86,200.00"
State University of New York (SUNY) at Albany,State,Northeastern,"$44,500.00","$92,200.00"
State University of New York (SUNY) at Albany,Party,Northeastern,"$44,500.00","$92,200.00"
State University of New York (SUNY) at Buffalo,State,Northeastern,"$46,200.00","$81,700.00"
State University of New York (SUNY) at Farmingdale,State,Northeastern,"$47,300.00","$84,200.00"
State University of New York (SUNY) at Fredonia,State,Northeastern,"$37,800.00","$66,200.00"
State University of New York (SUNY) at Geneseo,State,Northeastern,"$42,300.00","$81,300.00"
State University of New York (SUNY) at Oneonta,State,Northeastern,"$37,500.00","$76,700.00"
State University of New York (SUNY) at Oswego,State,Northeastern,"$38,000.00","$77,800.00"
State University of New York (SUNY) at Plattsburgh,State,Northeastern,"$40,800.00","$76,200.00"
State University of New York (SUNY) at Potsdam,State,Northeastern,"$38,000.00","$70,300.00"
Stevens Institute of Technology,Engineering,Northeastern,"$60,600.00","$105,000.00"
Stony Brook University,State,Northeastern,"$49,500.00","$93,000.00"
