Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Accounting,"$46,000.00","$77,100.00"
Aerospace Engineering,"$57,700.00","$101,000.00"
Agriculture,"$42,600.00","$71,900.00"
Anthropology,"$36,800.00","$61,500.00"
Architecture,"$41,600.00","$76,800.00"
Art History,"$35,800.00","$64,900.00"
Biology,"$38,800.00","$64,800.00"
Business Management,"$43,000.00","$72,100.00"
Chemical Engineering,"$63,200.00","$107,000.00"
Chemistry,"$42,600.00","$79,900.00"
Civil Engineering,"$53,900.00","$90,500.00"
Communications,"$38,100.00","$70,000.00"
Computer Engineering,"$61,400.00","$105,000.00"
Computer Science,"$55,900.00","$95,500.00"
Construction,"$53,700.00","$88,900.00"
Criminal Justice,"$35,000.00","$56,300.00"
Drama,"$35,900.00","$56,900.00"
Economics,"$50,100.00","$98,600.00"
Education,"$34,900.00","$52,000.00"
Electrical Engineering,"$60,900.00","$103,000.00"
English,"$38,000.00","$64,700.00"
Film,"$37,900.00","$68,500.00"
Finance,"$47,900.00","$88,300.00"
Forestry,"$39,100.00","$62,600.00"
Geography,"$41,200.00","$65,500.00"
Geology,"$43,500.00","$79,500.00"
Graphic Design,"$35,700.00","$59,800.00"
Health Care Administration,"$38,800.00","$60,600.00"
History,"$39,200.00","$71,000.00"
Hospitality & Tourism,"$37,800.00","$57,500.00"
Industrial Engineering,"$57,700.00","$94,700.00"
Information Technology (IT),"$49,100.00","$74,800.00"
Interior Design,"$36,100.00","$53,200.00"
International Relations,"$40,900.00","$80,900.00"
Journalism,"$35,600.00","$66,700.00"
Management Information Systems (MIS),"$49,200.00","$82,300.00"
Marketing,"$40,800.00","$79,600.00"
Math,"$45,400.00","$92,400.00"
Mechanical Engineering,"$57,900.00","$93,600.00"
Music,"$35,900.00","$55,000.00"
Nursing,"$54,200.00","$67,000.00"
Nutrition,"$39,900.00","$55,300.00"
Philosophy,"$39,900.00","$81,200.00"
Physician Assistant,"$74,300.00","$91,700.00"
Physics,"$50,300.00","$97,300.00"
Political Science,"$40,800.00","$78,200.00"
Psychology,"$35,900.00","$60,400.00"
Religion,"$34,100.00","$52,000.00"
Sociology,"$36,500.00","$58,200.00"
Spanish,"$34,000.00","$53,100.00"
